일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","84112695",,"80434655","9684045","174231395"
"2023/05/03","25686255",,"35465455","0","61151710"
"2023/05/02","29984045","0","64166460","19931805","114082310"
"2023/04/28","83154685",,"130895800","38816175","252866660"
"2023/04/27","88233315",,"164874270","36590955","289698540"
"2023/04/26","52730955",,"49020090","2059780","103810825"
"2023/04/25","104037245","0","131440450","15527965","251005660"
"2023/04/24","81013750",,"137856305","10134810","229004865"
"2023/04/21","54944565",,"50797435","4236390","109978390"
"2023/04/20","58088020","0","122863695","21001715","201953430"
"2023/04/19","52196505","0","127050415","8820065","188066985"
"2023/04/18","86835175","11855000","98367205","28136630","225194010"
"2023/04/17","91478155","71830","85421650","12866290","189837925"
"2023/04/14","95163830",,"97728265","45475540","238367635"
"2023/04/13","39592455",,"51626115","28937710","120156280"
"2023/04/12","133592795","10600","66324145","43614100","243541640"
"2023/04/11","808013075","0","193841550","15289450","1017144075"
"2023/04/10","100967095","7270","213829140","34198275","349001780"
"2023/04/07","48706385","0","71010025","9814245","129530655"
"2023/04/06","19287950","0","43102735","2337725","64728410"
"2023/04/05","78074085",,"58497350","15870935","152442370"
"2023/04/04","69959290",,"74293385","12808505","157061180"
"2023/04/03","36105215","0","82939295","3940285","122984795"
"2023/03/31","30546330","0","76687685","28535335","135769350"
"2023/03/30","19208995","0","78784200","5336250","103329445"
"2023/03/29","22591600","18457285","140072320","8891915","190013120"
"2023/03/28","122897910","322210","224825975","23874325","371920420"
"2023/03/27","56648625",,"115779785","1203065","173631475"
"2023/03/24","25134515","0","15148635","3930","40287080"
"2023/03/23","94970055",,"36054365","13346480","144370900"
"2023/03/22","109437610","47490","12648625","4923500","127057225"
"2023/03/21","122186580","11940","7348355","22515175","152062050"
"2023/03/20","47071080","0","6828350","2279315","56178745"
"2023/03/17","108965815","0","53093270","36655005","198714090"
"2023/03/16","75592335","0","6011770","6624735","88228840"
"2023/03/15","105054685","0","41423620","17637180","164115485"
"2023/03/14","54922065","7840","49058830","4676490","108665225"
"2023/03/13","115467035","343905","60220555","10094005","186125500"
"2023/03/10","21099940",,"18622785","0","39722725"
"2023/03/09","15602560","8085245","13631875","4035","37323715"
"2023/03/08","85081560","0","15220325","9137500","109439385"
"2023/03/07","111914710","0","18304040","20784900","151003650"
"2023/03/06","80540540","0","6266520","1541925","88348985"
"2023/03/03","37552315","8136545","23909175","3500220","73098255"
"2023/03/02","101186960","8138900","11919350","2455615","123700825"
"2023/02/28","143149850","2822000","7757965","38087470","191817285"
"2023/02/27","31080550","0","32733685","10406230","74220465"
"2023/02/24","100148770","19860","56157960","25996675","182323265"
"2023/02/23","39607860","0","12584940","8108860","60301660"
"2023/02/22","30562065","7853590","10797605","4161595","53374855"
"2023/02/21","51577135",,"39653005","0","91230140"
"2023/02/20","104435630","349645","136616105","22588010","263989390"
"2023/02/17","74776810","27510","74182005","12428435","161414760"
"2023/02/16","54088960","49843905","108561180","4005895","216499940"
"2023/02/15","55579460","11187710","95621345","51480","162439995"
"2023/02/14","71152185","63830","50860715","4051760","126128490"
"2023/02/13","77330450","0","59497950","7976940","144805340"
"2023/02/10","118030570","0","60725195","26154370","204910135"
"2023/02/09","14407380","314340","41624320","313745","56659785"
"2023/02/08","56459115","313950","62196620","8011135","126980820"
"2023/02/07","65073590","8015","62243510","5850410","133175525"
"2023/02/06","60438400","0","91376615","19262640","171077655"
"2023/02/03","169363665","12150","64644875","11150705","245171395"
"2023/02/02","152330160","937825","39302550","38707800","231278335"
"2023/02/01","168800990","966350","106622175","15801495","292191010"
"2023/01/31","420551755","4120","120914605","127362435","668832915"
"2023/01/30","125041170","37430","66933910","22287630","214300140"
"2023/01/27","331000275","0","35963165","47934695","414898135"
"2023/01/26","104988785","0","36676475","22149745","163815005"
"2023/01/25","118714285","0","77564065","1294060","197572410"
"2023/01/20","103411125","4145","29780525","5284700","138480495"
"2023/01/19","87316385","2007680","100636660","10944430","200905155"
"2023/01/18","98874490","93046000","51726665","28177145","271824300"
"2023/01/17","53236910","7290510","75054105","14062290","149643815"
"2023/01/16","97325025","4125000","35217905","49143270","185811200"
"2023/01/13","94450215","0","53574210","11469010","159493435"
"2023/01/12","350742520","0","45145860","36251225","432139605"
"2023/01/11","116676310",,"15704150","1184695","133565155"
"2023/01/10","56648780","0","24542065","39340","81230185"
"2023/01/09","97875920","0","10002090","7885","107885895"
"2023/01/06","97461460","0","18081495","18408915","133951870"
"2023/01/05","96221020","3800","20464740","34632220","151321780"
"2023/01/04","43797750","0","42528375","7368515","93694640"
"2023/01/03","134335810","37096925","26901285","27858000","226192020"
"2023/01/02","82430290","1831180","50837350","4613275","139712095"
"2022/12/29","39512095","313030","53054725","1573095","94452945"
"2022/12/28","125963520","0","16685665","21212585","163861770"
"2022/12/27","92903355","0","55628355","13189205","161720915"
"2022/12/26","65981715",,"62441025","12284140","140706880"
"2022/12/23","81986655","0","15165430","122270","97274355"
"2022/12/22","84875255","0","21262110","6096340","112233705"
"2022/12/21","32556145","0","36238160","996575","69790880"
"2022/12/20","62582170","10012355","33663860","8740745","114999130"
"2022/12/19","116883055","3710","66627845","38049840","221564450"
"2022/12/16","38682935","0","90056530","7654785","136394250"
"2022/12/15","38304785","4341470","98177620","7594855","148418730"
"2022/12/14","117475750","0","48972230","40874125","207322105"
"2022/12/13","60457735","0","7920015","0","68377750"
"2022/12/12","34983870","0","26233815","0","61217685"
"2022/12/09","54638030","0","53149950","7227615","115015595"
"2022/12/08","60841105","901335","44254985","6389085","112386510"
"2022/12/07","149343245","0","47990250","598820","197932315"
"2022/12/06","85579065","22625","48180520","5735845","139518055"
"2022/12/05","284374185","9398610","96930990","66528375","457232160"
"2022/12/02","140742360","992980","81729070","33281110","256745520"
"2022/12/01","140850235","0","215893955","64902025","421646215"
"2022/11/30","72311655","0","55165875","3308215","130785745"
"2022/11/29","158024385","0","24510200","9971340","192505925"
"2022/11/28","65157090","2270750","18054885","41725","85524450"
"2022/11/25","88651085","6338475","69637455","44835565","209462580"
"2022/11/24","93019625","307495","58872735","3531920","155731775"
"2022/11/23","81665565",,"95655220","3274625","180595410"
"2022/11/22","133555685",,"28457430","26775","162039890"
"2022/11/21","173366625",,"22203140","232565","195802330"
"2022/11/18","100776300",,"19728200","7583385","128087885"
"2022/11/17","86651430",,"7249920","504070","94405420"
"2022/11/16","125487230","20053005","21589765","13341180","180471180"
"2022/11/15","112324655",,"51761110","15670900","179756665"
"2022/11/14","84710095",,"61475675","3216190","149401960"
"2022/11/11","222544430","4584520","122345210","81881645","431355805"
"2022/11/10","78177355","0","84017210","33153375","195347940"
"2022/11/09","92886770","0","14957340","2492370","110336480"
"2022/11/08","54105210",,"88700340","6874900","149680450"
"2022/11/07","82303140","2220000","23074535","73900","107671575"
"2022/11/04","226020605",,"22540430","27615895","276176930"
"2022/11/03","98919325","24605","20987980","10728550","130660460"
"2022/11/02","159093205",,"17991850","15397485","192482540"
"2022/11/01","360264485",,"45630095","42700970","448595550"
"2022/10/31","147105190","0","29762395","12437935","189305520"
"2022/10/28","156562755","0","42302910","5625835","204491500"
"2022/10/27","116541705","10595200","54422420","59433905","240993230"
"2022/10/26","103939630","7002185","28942790","11448780","151333385"
"2022/10/25","85323875","6815","36089420","0","121420110"
"2022/10/24","102058805","3425","27602260","53500735","183165225"
"2022/10/21","155451195","20010","92712645","2782075","250965925"
"2022/10/20","241378465","0","60363810","13334865","315077140"
"2022/10/19","453786780","6965000","45533735","35464035","541749550"
"2022/10/18","418302080",,"107273185","142843610","668418875"
"2022/10/17","271252240","15174205","267445985","47259605","601132035"
"2022/10/14","113473920","16369375","341465515","63746425","535055235"
"2022/10/13","357846140","12610080","421105185","104051735","895613140"
"2022/10/12","349855480","26796295","536403080","76755425","989810280"
"2022/10/11","69667150","4008900","199826530","10316125","283818705"
"2022/10/07","48024005","2881920","36281475","13526230","100713630"
"2022/10/06","53444765","4455435","127257950","2879795","188037945"
"2022/10/05","20937195","3196425","57410575","55165","81599360"
"2022/10/04","33895090","468180","147248915","5236890","186849075"
"2022/09/30","36090425","4375","52140270","3005320","91240390"
"2022/09/29","18918305","6589350","48661870","18029575","92199100"
"2022/09/28","24492375","12986690","129948055","14078665","181505785"
"2022/09/27","9412365","13429495","108823630","7799875","139465365"
"2022/09/26","30432260","18150710","45499115","11203385","105285470"
"2022/09/23","98371245","9220465","59298210","13130725","180020645"
"2022/09/22","325045","16691120","28947520","2678160","48641845"
"2022/09/21","23662225","13814645","30651080","1007230","69135180"
"2022/09/20","37370895","13882310","91593525","24059360","166906090"
"2022/09/19","49185145","13774850","33397080","640640","96997715"
"2022/09/16","48600320","13835985","76248130","7707870","146392305"
"2022/09/15","14099845","0","64645070","73965","78818880"
"2022/09/14","33111765","0","18691195","6574090","58377050"
"2022/09/13","55954210","9320","61276120","4670","117244320"
"2022/09/08","6436940","37235","74610780","7980880","89065835"
"2022/09/07","10893330","18610","45622335","358160","56892435"
"2022/09/06","7484540","0","23898835","7013575","38396950"
"2022/09/05","4087965","4710230","85777425","591910","95167530"
"2022/09/02","19079300","56000","99011000","41945","118188245"
"2022/09/01","62105295","42215","96971985","37605","159157100"
"2022/08/31","11170175","0","27145005","4765","38319945"
"2022/08/30","20375040","52260","84257390","104650","104789340"
"2022/08/29","9109260","76610","44647840","1363870","55197580"
"2022/08/26","28903885","0","61136855","2849375","92890115"
"2022/08/25","15305335",,"30155595","5021305","50482235"
"2022/08/24","45179475","21807060","99055055","206035","166247625"
"2022/08/23","34958765","0","16860405","4865","51824035"
"2022/08/22","20169380",,"24763690","628135","45561205"
"2022/08/19","26741835","0","27569325","131200","54442360"
"2022/08/18","33872740","0","61032805","4860","94910405"
"2022/08/17","47930065","36548590","76709845","1341360","162529860"
"2022/08/16","134842490","43205","71434390","13897920","220218005"
"2022/08/12","87328455","9575","797375350","137653470","1022366850"
"2022/08/11","47827235","6972425","47354640","1677025","103831325"
"2022/08/10","62052160","23780","34390405","104665","96571010"
"2022/08/09","8522725","4755","73520155","4770","82052405"
"2022/08/08","13152405","0","31149260","28685","44330350"
"2022/08/05","91436150","124110","111033500","14375","202608135"
"2022/08/04","39461200","0","55149205","2606860","97217265"
"2022/08/03","249073575","4780","138452245","56436400","443967000"
"2022/08/02","33632875","1771385","55083705","355665","90843630"
"2022/08/01","87804755","0","41546030","16245965","145596750"
"2022/07/29","104726880","28110","117717270","20720940","243193200"
"2022/07/28","87400385","0","165344550","7281825","260026760"
"2022/07/27","64299655","0","94725740","37160","159062555"
"2022/07/26","131946495","0","260489240","1917695","394353430"
"2022/07/25","153315065","0","226920140","5950425","386185630"
"2022/07/22","229828380","0","46598035","4805","276431220"
"2022/07/21","297934715","0","122323580","2337610","422595905"
"2022/07/20","395100415","2397500","1273280795","192178110","1862956820"
"2022/07/19","245428815","0","19105865","26110035","290644715"
"2022/07/18","181588170","0","27678620","18326210","227593000"
"2022/07/15","851923880","0","30559370","148844345","1031327595"
"2022/07/14","215907905","19600","37167880","3530765","256626150"
"2022/07/13","226168845","0","7217635","5576240","238962720"
"2022/07/12","162354105","0","17493120","37771955","217619180"
"2022/07/11","503174795","19860","28073490","2459330","533727475"
"2022/07/08","280823185","0","18553890","19412075","318789150"
"2022/07/07","547963195",,"10691510","51636910","610291615"
"2022/07/06","669319950","0","63351575","126511915","859183440"
"2022/07/05","692809200","0","89003985","282196355","1064009540"
"2022/07/04","242017770","9520","320114385","63372515","625514190"
"2022/07/01","149261480","24245","149921660","11739625","310947010"
"2022/06/30","72676575","2076165","141676615","13311825","229741180"
"2022/06/29","30248190","34735140","156628085","24623255","246234670"
"2022/06/28","200310170","87140680","59280320","51320340","398051510"
"2022/06/27","404847580","104578390","180887830","74096850","764410650"
"2022/06/24","265787220","117650925","167330755","90149920","640918820"
"2022/06/23","398622785","41062210","182496950","126073500","748255445"
"2022/06/22","414267555","11233000","295009875","111557440","832067870"
"2022/06/21","174920640","1026000","125277950","83657990","384882580"
"2022/06/20","321939470","2422800","226154330","214976160","765492760"
"2022/06/17","193244530","2074000","183381430","1269209000","1647908960"
"2022/06/16","310520460","2092000","144895540","184321610","641829610"
"2022/06/15","447645810","11579680","266372390","134891210","860489090"
"2022/06/14","776231310","86847000","323600910","510906270","1697585490"
"2022/06/13","420500600","21215000","299192780","214494020","955402400"
"2022/06/10","646586530","37785000","936352960","125651750","1746376240"
"2022/06/09","38169920","0","52585830","71166400","161922150"
"2022/06/08","42964830","170400","61861880","71621900","176619010"
"2022/06/07","378121030","0","55166750","79044900","512332680"
"2022/06/03","144276000","0","107882900","130480","252289380"
"2022/06/02","252511660","0","40401310","0","292912970"
"2022/05/31","122886620","0","14938600","49063840","186889060"
"2022/05/30","333959760","0","25569090","11320","359540170"
"2022/05/27","216170560","0","46077650","1717600","263965810"
"2022/05/26","630589720","0","33781890","36900630","701272240"
"2022/05/25","659805100","0","18360530","55595020","733760650"
"2022/05/24","149227180","1854160","26563660","15705420","193350420"
"2022/05/23","152995780","0","20896590","6018380","179910750"
"2022/05/20","164384860","0","72938040","21278580","258601480"
"2022/05/19","134585100","984600","16988280","0","152557980"
"2022/05/18","440084180","1080000","94915610","11072030","547151820"
"2022/05/17","617595320","15776580","54468720","3671400","691512020"
"2022/05/16","482153570","108800","41653580","266440","524182390"
"2022/05/13","539230400","6144800","154579670","192717220","892672090"
"2022/05/12","1016168850","37130860","328981290","579836460","1962117460"
"2022/05/11","657883580","0","103803100","57130510","818817190"
"2022/05/10","215449140","5310000","145517500","138925490","505202130"
"2022/05/09","452494590","2449880","120866600","72477480","648288550"
"2022/05/06","106021980","21217450","195518000","62661940","385419370"
"2022/05/04","581413890","29014960","70944250","42994160","724367260"
"2022/05/03","571857050","19595000","353255560","103971300","1048678910"
"2022/05/02","560362660","0","47066480","30071680","637500820"
"2022/04/29","727340790","0","96006950","872560","824220300"
"2022/04/28","887812550","9673140","267464570","18895060","1183845320"
"2022/04/27","1253634570","3958750","392243060","219503350","1869339730"
"2022/04/26","502454940","7733160","446974840","53214370","1010377310"
"2022/04/25","462133920",,"381688450","96690790","940513160"
"2022/04/22","349267940","6887000","135108750","16208690","507472380"
"2022/04/21","341260190","44240000","147131320","37030140","569661650"
"2022/04/20","447483710","0","106042670","3667970","557194350"
"2022/04/19","709977910","0","65752870","0","775730780"
"2022/04/18","597749720","9358440","363502550","30826140","1001436850"
"2022/04/15","1171722740","0","349771040","122232160","1643725940"
"2022/04/14","780354790","0","145460280","10789580","936604650"
"2022/04/13","692516420","0","340700230","12085370","1045302020"
"2022/04/12","785258150","0","401034070","49470820","1235763040"
"2022/04/11","855462590","0","292338990","44995390","1192796970"
"2022/04/08","535589960","0","370902940","106981210","1013474110"
"2022/04/07","703445710","27683010","1873520700","236510210","2841159630"
"2022/04/06","1268060960","75795490","631831300","286334870","2262022620"
"2022/04/05","624975020","107753080","434403100","37871970","1205003170"
"2022/04/04","634274100","55101540","630627020","53706320","1373708980"
"2022/04/01","771109910","59734130","697108090","119785070","1647737200"
"2022/03/31","792209620","107097580","801202480","376050310","2076559990"
"2022/03/30","428634390","11325000","425688550","25518990","891166930"
"2022/03/29","597739095","22060000","285025015","30342360","935166470"
"2022/03/28","506634990","16545000","312789270","121264245","957233505"
"2022/03/25","233206555","9630360","242431665","70183340","555451920"
"2022/03/24","225726870","13562500","145982480","4605560","389877410"
"2022/03/23","322486410","22272680","166043990","144850","510947930"
"2022/03/22","255769430","0","391155225","34850000","681774655"
"2022/03/21","239623495","27052890","534164400","10547530","811388315"
"2022/03/18","280147795","1112770","132105980","10184905","423551450"
"2022/03/17","447334515","25538155","678480820","21083040","1172436530"
"2022/03/16","345398370","1412175","64017790","1409805","412238140"
"2022/03/15","616554265","30091225","293273320","49544495","989463305"
"2022/03/14","354501690","3479630","53049460","20328665","431359445"
"2022/03/11","275758235","1993920","315501810","994355","594248320"
"2022/03/10","344991570","18311855","194172165","865790","558341380"
"2022/03/08","285821310","2582415","92828795","15018390","396250910"
"2022/03/07","182155500","2929830","255405200","13233485","453724015"
"2022/03/04","393176980","3215325","171803030","3591335","571786670"
"2022/03/03","555156005","15755700","265974240","45843300","882729245"
"2022/03/02","496197395","89567005","197734920","38806570","822305890"
"2022/02/28","229690245","49300","226955435","44144280","500839260"
"2022/02/25","159427955","15859000","31967910","16148320","223403185"
"2022/02/24","78309375","9870000","228478705","197580","316855660"
"2022/02/23","40450125","4984550","61471655","17355000","124261330"
"2022/02/22","30054280","0","85229840","7241840","122525960"
"2022/02/21","21307120","9899350","258634770","5398365","295239605"
"2022/02/18","44190490","9989480","93204680","755735","148140385"
"2022/02/17","198088775","124854440","87571425","16520515","427035155"
"2022/02/16","266479850","199282790","61590800","0","527353440"
"2022/02/15","583206755","0","230596045","88431090","902233890"
"2022/02/14","319337115","0","131613365","8063475","459013955"
"2022/02/11","535294490","0","385804960","269511470","1190610920"
"2022/02/10","306713895","142663375","125065165","100273980","674716415"
"2022/02/09","415487245","0","85580385","19248710","520316340"
"2022/02/08","605316995","9660000","225959320","11229085","852165400"
"2022/02/07","493273370","334250","124775935","62263940","680647495"
"2022/02/04","320530265","40632080","241458320","9330775","611951440"
"2022/02/03","268285730","45393630","297016585","105769735","716465680"
"2022/01/28","171983200","9489800","263520455","7402040","452395495"
"2022/01/27","467243830","14730000","178650905","29564535","690189270"
"2022/01/26","122397105","14361165","118414825","3178700","258351795"
"2022/01/25","233715905","19268000","251735225","7952715","512671845"
"2022/01/24","251502465","20521000","257519920","9580","529552965"
"2022/01/21","201652800","4820000","100087910","26702420","333263130"
"2022/01/20","111107065","15219000","200981650","0","327307715"
"2022/01/19","583122300","35812500","315332925","53511935","987779660"
"2022/01/18","305521820","4999000","176707355","1579370","488807545"
"2022/01/17","871447130","123605895","776938425","7897365","1779888815"
"2022/01/14","281431185","1216250","334212555","15532290","632392280"
"2022/01/13","258170775","36099000","411540420","9750","705819945"
"2022/01/12","581287635","489750","388091280","9810","969878475"
"2022/01/11","278126165","738750","423671505","70773740","773310160"
"2022/01/10","627575450","56549510","717175320","49505945","1450806225"
"2022/01/07","306185010","0","74388535","14910000","395483545"
"2022/01/06","299722885","161653540","487275475","44684080","993335980"
"2022/01/05","244737940","0","341436845","248250","586423035"
"2022/01/04","295189565","4970000","463074700","24712210","787946475"
"2022/01/03","305122100","39877440","427816505","27594785","800410830"
"2021/12/30","290785560","0","301606275","131295850","723687685"
"2021/12/29","98093540","10410480","366736105","89223515","564463640"
"2021/12/28","485870370","450900","1358347465","3601570","1848270305"
"2021/12/27","59605400","0","854318465","100200","914024065"
"2021/12/24","76976880","574063050","1294123950","108266340","2053430220"
"2021/12/23","447112180","35627610","643552470","93024820","1219317080"
"2021/12/22","259525800","50300000","586639520","50400","896515720"
"2021/12/21","3151048250","24780000","662805950","368060","3839002260"
"2021/12/20","3457381945","55315220","673869710","184741535","4371308410"
"2021/12/17","717313935","37664480","636264450","1321765","1392564630"
"2021/12/16","1287094650","0","993845470","858280","2281798400"
"2021/12/15","1173176985","44401260","922813895","13301070","2153693210"
"2021/12/14","1574083300","11184540","697335740","24866975","2307470555"
"2021/12/13","924953730","20119555","1877121175","9445130","2831639590"
"2021/12/10","8558432605","1539496955","15859813815","1286305145","27244048520"